"authors","year","title","source_title","publisher","volume","issue","start_page","end_page","doi"
"McLauchlan, Kendra K.; Hobbie, Sarah E.; Post, Wilfred M.",2006,"Conversion from agriculture to grassland builds soil organic matter on decadal timescales.","Ecological applications : a publication of the Ecological Society of America","Wiley-Blackwell","16","1","143","153","10.1890/04-1650"
"Gallais, A.; Hirel, B.",2004,"An approach to the genetics of nitrogen use efficiency in maize","Journal of experimental botany","Oxford University Press","55","396","295","306","10.1093/jxb/erh006"
"Wilkins, ; Allen, ; Mytton, ",2000,"Differences in the nitrogen use efficiency of perennial ryegrass varieties under simulated rotational grazing and their effects on nitrogen recovery and herbage nitrogen content","Grass and Forage Science","Wiley","55","1","69","76","10.1046/j.1365-2494.2000.00199.x"
"Freibauer, Annette",2003,"Regionalised inventory of biogenic greenhouse gas emissions from European agriculture","European Journal of Agronomy","Elsevier BV","19","2","135","160","10.1016/s1161-0301(02)00020-5"
"Sullivan, Michael L.; Hatfield, Ronald D.",2006,"Polyphenol Oxidase and o‐Diphenols Inhibit Postharvest Proteolysis in Red Clover and Alfalfa","Crop Science","Wiley","46","2","662","670","10.2135/cropsci2005.06-0132"
"Alvarez, Roberto",2006,"A review of nitrogen fertilizer and conservation tillage effects on soil organic carbon storage","Soil Use and Management","Wiley","21","1","38","52","10.1111/j.1475-2743.2005.tb00105.x"
"Frink, Charles R.; Waggoner, Paul E.; Ausubel, Jesse H.",1999,"Nitrogen fertilizer: Retrospect and prospect","Proceedings of the National Academy of Sciences of the United States of America",NA,"96","4","1175","1180","10.1073/pnas.96.4.1175"
"Smith, Pete; Martino, Daniel; Cai, Zucong; Gwary, Daniel; Janzen, H. Henry; Kumar, Pushpam; McCarl, Bruce A.; Ogle, Stephen M.; O'Mara, Frank P.; Rice, Charles W.; Scholes, Bob; Sirotenko, Oleg; Howden, Mark; McAllister, Tim A.; Pan, Genxing; Romanenkov, V.; Schneider, Uwe A.; Towprayoon, Sirintornthep; Wattenbach, Martin; Smith, Jo",2007,"Greenhouse gas mitigation in agriculture","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","Royal Society of London","363","1492","789","813","10.1098/rstb.2007.2184"
"Madejón, Engracia; Murillo, José M.; Moreno, Félix; López, M.V.; Arrúe, J.L.; Álvaro-Fuentes, Jorge; Cantero, C.",2009,"Effect of long-term conservation tillage on soil biochemical properties in Mediterranean Spanish areas","Soil and Tillage Research","Elsevier BV","105","1","55","62","10.1016/j.still.2009.05.007"
"Arah, J. R. M.; Smith, Keith; Crichton, I. J.; Li, H. S.",1991,"Nitrous oxide production and denitrification in Scottish arable soils","Journal of Soil Science","Wiley","42","3","351","367","10.1111/j.1365-2389.1991.tb00414.x"
"Drury, C. F.; Stone, J. A.; Findlay, W. I.",1991,"MICROBIAL BIOMASS AND SOIL STRUCTURE ASSOCIATED WITH CORN, GRASSES, AND LEGUMES","Soil Science Society of America Journal","Wiley","55","3","805","811","10.2136/sssaj1991.03615995005500030029x"
"Dusenbury, M. P.; Engel, Richard E.; Miller, Perry R.; Lemke, R. L.; Wallander, Roseann T.",2008,"Nitrous oxide emissions from a Northern Great Plains soil as influenced by nitrogen management and cropping systems.","Journal of environmental quality","ASA/CSSA/SSSA","37","2","542","550","10.2134/jeq2006.0395"
"Venterea, Rodney T.; Burger, Martin; Spokas, Kurt A.",2005,"Nitrogen oxide and methane emissions under varying tillage and fertilizer management.","Journal of environmental quality","ASA/CSSA/SSSA","34","5","1467","1477","10.2134/jeq2005.0018"
"Kebreab, Ermias; Clark, K.; Wagner-Riddle, Claudia",2006,"Methane and nitrous oxide emissions from Canadian animal agriculture: A review","Canadian Journal of Animal Science","Canadian Science Publishing","86","2","135","137","10.4141/a05-010"
"Qualls, Robert G.; Haines, Bruce L.",1992,"Measuring Adsorption Isotherms Using Continuous, Unsaturated Flow through Intact Soil Cores","Soil Science Society of America Journal","Wiley","56","2","456","460","10.2136/sssaj1992.03615995005600020019x"
"Hammond, K.J.; Hoskin, S.O.; Burke, J.L.; Waghorn, G.C.; Koolaard, J.P.; Muetzel, S.",2011,"Effects of feeding fresh white clover (Trifolium repens) or perennial ryegrass (Lolium perenne) on enteric methane emissions from sheep","Animal Feed Science and Technology","Elsevier BV","166-167",NA,"398","404","10.1016/j.anifeedsci.2011.04.028"
"Six, Johan; Feller, Christian; Denef, Karolien; Ogle, Stephen M.; de Moraes Sá, João Carlos; Albrecht, Alain",2002,"Soil organic matter, biota and aggregation in temperate and tropical soils - Effects of no-tillage","Agronomie","EDP Sciences","22","7-8","755","775","10.1051/agro:2002043"
"He, Jin; Li, Hongwen; Rasaily, Rabi G.; Wang, Qingjie; Cai, Guohua; Su, Yanbo; Xiaodong, Qiao; Liu, Lijin",2011,"Soil properties and crop yields after 11 years of no tillage farming in wheat–maize cropping system in North China Plain","Soil and Tillage Research","Elsevier BV","113","1","48","54","10.1016/j.still.2011.01.005"
"Philippot, Laurent; Hallin, Sara",2011,"Towards food, feed and energy crops mitigating climate change.","Trends in plant science","Elsevier Limited","16","9","476","480","10.1016/j.tplants.2011.05.007"
"Palma, R. M.; Rimolo, M.; Saubidet, M. I.; Conti, M. E.",1997,"Influence of tillage system on denitrification in maize-cropped soils","Biology and Fertility of Soils","Springer Science and Business Media LLC","25","2","142","146","10.1007/s003740050294"
"Hernanz, J.L.; López, R; Navarrete, L.; Sánchez-Girón, V",2002,"Long-term effects of tillage systems and rotations on soil structural stability and organic carbon stratification in semiarid central Spain","Soil and Tillage Research","Elsevier BV","66","2","129","141","10.1016/s0167-1987(02)00021-1"
"Smeaton, D.C.; Cox, T.; Kerr, Suzi; Dynes, R.",2011,"Relationships between farm productivity, profitability, N leaching and GHG emissions: a modelling approach","Proceedings of the New Zealand Grassland Association","New Zealand Grassland Association",NA,NA,"57","61","10.33584/jnzg.2011.73.2834"
"Escobar, Luisa Fernanda; Amado, Telmo Jorge Carneiro; Bayer, Cimélio; Chavez, Luis Fernando; Zanatta, Josiléia Acordi; Fiorin, Jackson Ernani",2010,"Postharvest nitrous oxide emissions from a subtropical oxisol as influenced by summer crop residues and their management","Revista Brasileira de Ciência do Solo","FapUNIFESP (SciELO)","34","2","507","516","10.1590/s0100-06832010000200024"
"Shepherd, T. G.; Saggar, Surinder; Newman, R. H.; Ross, C. W.; Dando, John",2001,"Tillage-induced changes to soil structure and organic carbon fractions in New Zealand soils","Soil Research","CSIRO Publishing","39","3","465","489","10.1071/sr00018"
"Hopkins, A.; Del Prado, A.",2007,"Implications of climate change for grassland in Europe: impacts, adaptations and mitigation options: a review","Grass and Forage Science","Wiley","62","2","118","126","10.1111/j.1365-2494.2007.00575.x"
"Alluvione, Francesco; Halvorson, Ardell D.; Del Grosso, Stephen J.",2009,"Nitrogen, Tillage, and Crop Rotation Effects on Carbon Dioxide and Methane Fluxes from Irrigated Cropping Systems","Journal of environmental quality","ASA/CSSA/SSSA","38","5","2023","2033","10.2134/jeq2008.0517"
"Gebhardt, M R; Daniel, T C; Schweizer, E E; Allmaras, R R",1985,"Conservation tillage.","Science (New York, N.Y.)","American Association for the Advancement of Science","230","4726","625","630","10.1126/science.230.4726.625"
"Curtin, Denis; Wang, Hong; Selles, F.; McConkey, Brian; Campbell, C. A.",2000,"Tillage effects on carbon fluxes in continuous wheat and fallow-wheat rotations.","Soil Science Society of America Journal","Wiley","64","6","2080","2086","10.2136/sssaj2000.6462080x"
"Franzluebbers, Alan J.",2002,"Water infiltration and soil structure related to organic matter and its stratification with depth","Soil and Tillage Research","Elsevier BV","66","2","197","205","10.1016/s0167-1987(02)00027-2"
"Kennedy, P. M.; Charmley, E.",2012,"Methane yields from Brahman cattle fed tropical grasses and legumes","Animal Production Science","CSIRO Publishing","52","4","225","239","10.1071/an11103"
"Gibbs, R. J.; Reid, Jeffrey S.",1988,"A Conceptual Model of Changes in Soil Structure Under Different Cropping Systems","Advances in Soil Science","Springer New York",NA,NA,"123","149","10.1007/978-1-4613-8771-8_3"
"Ussiri, David A.N.; Lal, Rattan",2009,"Long-term tillage effects on soil carbon storage and carbon dioxide emissions in continuous corn cropping system from an alfisol in Ohio.","Soil and Tillage Research","Elsevier BV","104","1","39","47","10.1016/j.still.2008.11.008"
"Neff, Jason C.; Holland, Elisabeth A.; Dentener, Frank; McDowell, William H.; Russell, K.M. |",2002,"The origin, composition and rates of organic nitrogen deposition: A missing piece of the nitrogen cycle?","Biogeochemistry","Springer Science and Business Media LLC","57","1","99","136","10.1023/a:1015791622742"
"Sun, X.Z.; Hoskin, S.O.; Muetzel, S.; Molano, G.; Clark, Harry",2011,"Effects of forage chicory (Cichorium intybus) and perennial ryegrass (Lolium perenne) on methane emissions in vitro and from sheep","Animal Feed Science and Technology","Elsevier","166",NA,"391","397",NA
"Bhatta, Raghavendra; Enishi, Osamu; Kurihara, Mitsunori",2007,"Measurement of Methane Production from Ruminants","Asian-Australasian Journal of Animal Sciences","Asian Australasian Association of Animal Production Societies","20","8","1305","1318","10.5713/ajas.2007.1305"
"Kumar, Pushpam",2007,"Agriculture (Chapter8) in IPCC, 2007: Climate change 2007: Mitigation of Climate Change. Contribution of Working Group III to the Fourth assessment Report of the Intergovernmental Panel on Climate Change",NA,NA,NA,NA,NA,NA,NA
"Wilkins, P.W.; Macduff, J.H.; Raistrick, N.; Collison, M.",1997,NA,"Euphytica","Springer Science and Business Media LLC","98","1/2","109","119","10.1023/a:1003080007976"
"Jones, Michael B.; Donnelly, Alison",2004,"Carbon sequestration in temperate grassland ecosystems and the influence of management, climate and elevated CO2","New Phytologist","Wiley","164","3","423","439","10.1111/j.1469-8137.2004.01201.x"
"Mummey, Daniel L.; Smith, Jeffrey L.; Bluhm, George",2000,"Estimation of Nitrous Oxide Emissions from US Grasslands.","Environmental management","Springer New York","25","2","169","175","10.1007/s002679910013"
"Bavin, T. K.; Griffis, Timothy J.; Baker, John M.; Venterea, Rodney T.",2009,"Impact of reduced tillage and cover cropping on the greenhouse gas budget of a maize/soybean rotation ecosystem","Agriculture, Ecosystems & Environment","Elsevier","134","3","234","242",NA
"Gregorich, Edward G.; Rochette, P.; VandenBygaart, A. J.; Angers, Denis A.",2005,"Greenhouse gas contributions of agricultural soils and potential mitigation practices in Eastern Canada","Soil and Tillage Research","Elsevier BV","83","1","53","72","10.1016/j.still.2005.02.009"
"Verchot, Louis V.",2014,"Challenges and opportunities for mitigation in the agricultural sector",NA,NA,NA,NA,NA,NA,NA
"Johnson, Kristen A.; Johnson, D.",1995,"Methane emissions from cattle.","Journal of animal science","American Society of Animal Science","73","8","2483","2492","10.2527/1995.7382483x"
"Baggs, Elizabeth M.; Stevenson, M.; Pihlatie, Mari; Regar, A.; Cook, H.; Cadisch, Georg",2003,"Nitrous oxide emissions following application of residues and fertiliser under zero and conventional tillage","Plant and Soil","Springer Science and Business Media LLC","254","2","361","370","10.1023/a:1025593121839"
"Choudhary, M.A; Akramkhanov, A; Saggar, S",2002,"Nitrous oxide emissions from a New Zealand cropped soil: tillage effects, spatial and seasonal variability","Agriculture, Ecosystems & Environment","Elsevier BV","93","1-3","33","43","10.1016/s0167-8809(02)00005-1"
"Holtham, Deborah A.L.; Matthews, G. Peter; Scholefield, David S.",2007,"Measurement and simulation of void structure and hydraulic changes caused by root-induced soil structuring under white clover compared to ryegrass","Geoderma","Elsevier BV","142","1-2","142","151","10.1016/j.geoderma.2007.08.018"
"Ali, Muhammad Aslam; Lee, Chang Hoon; Lee, Yong Bok; Kim, Pil Joo",2009,"Silicate fertilization in no-tillage rice farming for mitigation of methane emission and increasing rice productivity.","Agriculture, Ecosystems & Environment","Elsevier","132","1","16","22",NA
"Malhi, S.S.; Lemke, R.",2007,"Tillage, crop residue and N fertilizer effects on crop yield, nutrient uptake, soil quality and nitrous oxide gas emissions in a second 4-yr rotation cycle","Soil and Tillage Research","Elsevier BV","96","1-2","269","283","10.1016/j.still.2007.06.011"
"West, Tristram O.; Six, Johan",2006,"Considering the influence of sequestration duration and carbon saturation on estimates of soil carbon capacity","Climatic Change","Springer Science and Business Media LLC","80","1-2","25","41","10.1007/s10584-006-9173-8"
"Witt, Christian; Dobermann, Achim; Abdulrachman, S.; Gines, H. C.; Guang-huo, Wang; Nagarajan, R.; Satawatananont, S; Son, T. T.; Tan, P. S.; Le Van Tiem, NA; Simbahan, G. C.; Olk, D. C.",1999,"Internal nutrient efficiencies of irrigated lowland rice in tropical and subtropical Asia","Field Crops Research","Elsevier BV","63","2","113","138","10.1016/s0378-4290(99)00031-3"
"Bavin, T.K.; Griffis, T.J.; Baker, J.M.; Venterea, R.T.",2009,"Impact of reduced tillage and cover cropping on the greenhouse gas budget of a maize/soybean rotation ecosystem","Agriculture, Ecosystems & Environment","Elsevier BV","134","3-4","234","242","10.1016/j.agee.2009.07.005"
"Alvarez, Roberto; Steinbach, Haydee S.",2009,"A review of the effects of tillage systems on some soil physical properties, water content, nitrate availability and crops yield in the Argentine Pampas","Soil and Tillage Research","Elsevier BV","104","1","1","15","10.1016/j.still.2009.02.005"
"Ball, Bruce C.; Dobbie, K. E.; Parker, J. P.; Smith, Keith",1997,"The influence of gas transport and porosity on methane oxidation in soils","Journal of Geophysical Research: Atmospheres","American Geophysical Union (AGU)","102","D19","23301","23308","10.1029/97jd00870"
"Miller, L. A.; Moorby, Jon M.; Davies, David R.; Humphreys, Mervyn O.; Scollan, Nigel D.; MacRae, John C.; Theodorou, Michael K.",2001,"Increased concentration of water-soluble carbohydrate in perennial ryegrass (Lolium perenne L.) : milk production from late lactation dairy cows","Grass and Forage Science","Wiley","56","4","383","394","10.1046/j.1365-2494.2001.00288.x"
"Mosier, Arvin R.; Halvorson, Ardell D.; Peterson, Gary A.; Robertson, G.P.; Sherrod, L. A.",2005,"Measurement of Net Global Warming Potential in Three Agroecosystems","Nutrient Cycling in Agroecosystems","Springer Science and Business Media LLC","72","1","67","76","10.1007/s10705-004-7356-0"
"Li, Daming; Liu, Manqiang; Cheng, Yanhong; Wang, Dong; Qin, Jiangtao; Jiao, Jiaguo; Li, Huixin; Hu, Feng",2011,"Methane emissions from double-rice cropping system under conventional and no tillage in southeast China","Soil and Tillage Research","Elsevier BV","113","2","77","81","10.1016/j.still.2011.02.006"
"Park, Sunyoung; Croteau, Philip; Boering, Kristie A.; Etheridge, David; Ferretti, D.; Fraser, Paul J.; Kim, Kyung-Ryul; Krummel, Paul B.; Langenfelds, R. L.; van Ommen, T. D.; Steele, L. P.; Trudinger, Cathy M.",2012,"Trends and seasonal cycles in the isotopic composition of nitrous oxide since 1940","Nature Geoscience","Springer Science and Business Media LLC","5","4","261","265","10.1038/ngeo1421"
"Owens, Vance N.; Albrecht, Kenneth A.; Muck, Richard E.",2002,"Protein degradation and fermentation characteristics of unwilted red clover and alfalfa silage harvested at various times during the day","Grass and Forage Science","Wiley","57","4","329","341","10.1046/j.1365-2494.2002.00333.x"
"Subbarao, Guntur V.; Nakahara, K.; del Pilar Hurtado, María; Ono, Hiroshi; Moreta, D. E.; Salcedo, Andres; Yoshihashi, A. T.; Ishikawa, T.; Ishitani, Manabu; Ohnishi-Kameyama, M.; Yoshida, M.; Rondón, Marco Antonio; Rao, Idupulapati M.; Lascano, Carlos E.; Berry, Wade L.; Ito, O.",2009,"Evidence for biological nitrification inhibition in Brachiaria pastures","Proceedings of the National Academy of Sciences of the United States of America",NA,"106","41","17302","17307","10.1073/pnas.0903694106"
"Jabro, Jalal D.; Sainju, Upendra M.; Stevens, William B.; Evans, Robert G.",2007,"Carbon dioxide flux as affected by tillage and irrigation in soil converted from perennial forages to annual crops","Journal of environmental management","Academic Press Inc.","88","4","1478","1484","10.1016/j.jenvman.2007.07.012"
"Alford, Andrew R.; Hegarty, Roger; Parnell, P. F.; Cacho, Oscar J.; Herd, Robert M; Griffith, Garry R.",2006,"The impact of breeding to reduce residual feed intake on enteric methane emissions from the Australian beef industry","Australian Journal of Experimental Agriculture","CSIRO Publishing","46","7","813","820","10.1071/ea05300"
"Lassey, K. R.",2006,"Livestock methane emission: From the individual grazing animal through national inventories to the global methane cycle","Agricultural and Forest Meteorology","Elsevier","142","2","120","132",NA
"Marley, Christina L.; Fychan, A. Rhun; Jones, Raymond",2006,"Yield, persistency and chemical composition of Lotus species and varieties (birdsfoot trefoil and greater birdsfoot trefoil) when harvested for silage in the UK","Grass and Forage Science","Wiley","61","2","134","145","10.1111/j.1365-2494.2006.00516.x"
